,Store/Product,MAPE,R^2
122,Store_12 - MAGAZINES,54.17,0.11286
123,Store_12 - MEATS,27.01,0.29095
124,Store_12 - PERSONAL_CARE,19.08,0.16279
125,Store_12 - PET_SUPPLIES,50.25,0.49314
126,Store_12 - PLAYERS_AND_ELECTRONICS,49.1,0.23116
127,Store_12 - POULTRY,11.4,0.08108
128,Store_12 - PREPARED_FOODS,31.05,0.03298
129,Store_12 - PRODUCE,13.45,0.66242
130,Store_12 - SCHOOL_AND_OFFICE_SUPPLIES,31.58,0.78313
131,Store_12 - SEAFOOD,119.6,0.02561
132,Store_13 - AUTOMOTIVE,49.16,0.67496
133,Store_13 - BABY_CARE,,
134,Store_13 - BEAUTY,52.07,0.34582
135,Store_13 - BEVERAGES,14.05,0.37126
136,Store_13 - BOOKS,,
137,Store_13 - BREAD/BAKERY,20.03,0.40358
138,Store_13 - CELEBRATION,109.63,0.13269
139,Store_13 - CLEANING,37.85,0.1189
140,Store_13 - DAIRY,14.0,0.48206
141,Store_13 - DELI,14.91,0.44287
142,Store_13 - EGGS,45.48,0.32957
143,Store_13 - FROZEN_FOODS,23.26,0.29246
144,Store_13 - GROCERY_I,9.7,0.41892
145,Store_13 - GROCERY_II,115.27,0.16511
146,Store_13 - HARDWARE,911.77,0.14869
147,Store_13 - HOME_AND_KITCHEN_I,50.27,0.00069
148,Store_13 - HOME_AND_KITCHEN_II,55.43,0.01169
149,Store_13 - HOME_APPLIANCES,,
150,Store_13 - HOME_CARE,9.98,0.62214
151,Store_13 - LADIESWEAR,85.97,0.33104
152,Store_13 - LAWN_AND_GARDEN,,
153,Store_13 - LINGERIE,55.5,3e-05
154,Store_13 - LIQUOR_WINE_BEER,50.88,0.67587
155,Store_13 - MAGAZINES,70.55,0.03723
156,Store_13 - MEATS,24.63,0.65879
157,Store_13 - PERSONAL_CARE,15.91,0.44016
158,Store_13 - PET_SUPPLIES,99.54,0.00484
159,Store_13 - PLAYERS_AND_ELECTRONICS,38.45,0.07517
160,Store_13 - POULTRY,18.15,0.53351
161,Store_13 - PREPARED_FOODS,27.42,0.04327
162,Store_13 - PRODUCE,17.63,0.21538
163,Store_13 - SCHOOL_AND_OFFICE_SUPPLIES,36.79,0.57852
164,Store_13 - SEAFOOD,108.18,0.20052
165,Store_14 - AUTOMOTIVE,84.1,0.28152
166,Store_14 - BABY_CARE,,
167,Store_14 - BEAUTY,30.92,0.13655
168,Store_14 - BEVERAGES,19.88,0.01069
169,Store_14 - BOOKS,,
170,Store_14 - BREAD/BAKERY,17.44,0.07147
171,Store_14 - CELEBRATION,52.72,0.28425
172,Store_14 - CLEANING,75.17,0.36197
173,Store_14 - DAIRY,12.43,0.53299
174,Store_14 - DELI,17.97,0.40059
175,Store_14 - EGGS,57.77,0.08335
176,Store_14 - FROZEN_FOODS,26.96,0.54035
177,Store_14 - GROCERY_I,13.56,0.34538
178,Store_14 - GROCERY_II,314.05,0.34535
179,Store_14 - HARDWARE,143.67,0.00883
180,Store_14 - HOME_AND_KITCHEN_I,99.98,0.22814
181,Store_14 - HOME_AND_KITCHEN_II,31.76,0.18732
182,Store_14 - HOME_APPLIANCES,314.4,0.20104
183,Store_14 - HOME_CARE,20.39,0.62928
184,Store_14 - LADIESWEAR,83.25,0.00028
185,Store_14 - LAWN_AND_GARDEN,,
186,Store_14 - LINGERIE,66.66,0.01579
187,Store_14 - LIQUOR_WINE_BEER,96.6,0.45572
188,Store_14 - MAGAZINES,38.57,0.23169
189,Store_14 - MEATS,26.07,0.62174
190,Store_14 - PERSONAL_CARE,13.74,0.59645
191,Store_14 - PET_SUPPLIES,90.38,0.02887
192,Store_14 - PLAYERS_AND_ELECTRONICS,45.12,0.01762
193,Store_14 - POULTRY,27.12,0.7891
194,Store_14 - PREPARED_FOODS,10.72,0.62584
195,Store_14 - PRODUCE,12.72,0.48582
196,Store_14 - SCHOOL_AND_OFFICE_SUPPLIES,24.89,0.86981
197,Store_14 - SEAFOOD,40.85,0.2043
198,Store_15 - AUTOMOTIVE,38.02,0.11326
199,Store_15 - BABY_CARE,166.92,0.02867
200,Store_15 - BEAUTY,54.27,0.03563
201,Store_15 - BEVERAGES,11.18,0.16172
202,Store_15 - BOOKS,,
203,Store_15 - BREAD/BAKERY,18.56,0.28402
204,Store_15 - CELEBRATION,84.99,0.00081
205,Store_15 - CLEANING,17.07,0.50161
206,Store_15 - DAIRY,13.68,0.46665
207,Store_15 - DELI,19.52,0.47607
208,Store_15 - EGGS,18.92,0.40822
209,Store_15 - FROZEN_FOODS,16.19,0.35335
210,Store_15 - GROCERY_I,16.53,0.46651
