Geo_FIPS,StateFIPS,CountyFIPS,TractFIPS,BlockgroupFIPS,TotalPopEst2015_19ACS,YearOfStartDate,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,Unique0to17WithED_VisitPer100,NumberED_VisitsAge0to17,ED_VisitsPer100Age0to17,NumberLowAcuityED_VisitsAge0to17,LowAcuityED_VisitsPer100Age0to17,NumberAsthmaRelatedED_Visits,AsthmaRelatedED_VisitsPer100Age0to17,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,InjuryRelatedEDVisitsPer100Age0to17,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AcuteRespiratoryTractInfectionRelatedED_VisitsPer100Age0to17
420031017002,42,3,101700,2,640,2018,11.6,142,78,54.9,158,111.3,102,71.8,58,40.8,24,3,2.1,32,22.5
420031017002,42,3,101700,2,640,2019,11.6,142,78,54.9,163,114.8,115,81,49,34.5,13,,0,30,21.1
420031018001,42,3,101800,1,1182,2016,13,215,35,16.3,49,22.8,25,11.6,13,6,6,2,0.9,6,2.8
420031018001,42,3,101800,1,1182,2017,13,215,23,10.7,30,14,14,6.5,8,3.7,2,,0,3,1.4
420031018001,42,3,101800,1,1182,2018,13,215,27,12.6,42,19.5,24,11.2,12,5.6,3,,0,5,2.3
420031018001,42,3,101800,1,1182,2019,13,215,30,14,51,23.7,32,14.9,11,5.1,6,2,0.9,8,3.7
420031018002,42,3,101800,2,1439,2016,13.4,154,47,30.5,85,55.2,40,26,16,10.4,3,,0,13,8.4
420031018002,42,3,101800,2,1439,2017,13.4,154,55,35.7,83,53.9,37,24,12,7.8,12,1,0.6,14,9.1
420031018002,42,3,101800,2,1439,2018,13.4,154,55,35.7,75,48.7,45,29.2,9,5.8,10,3,1.9,7,4.5
420031018002,42,3,101800,2,1439,2019,13.4,154,50,32.5,72,46.8,41,26.6,4,2.6,8,1,0.6,12,7.8
420031102001,42,3,110200,1,835,2016,7,94,18,19.1,21,22.3,10,10.6,1,1.1,,,0,2,2.1
420031102001,42,3,110200,1,835,2017,7,94,17,18.1,25,26.6,10,10.6,2,2.1,,,0,2,2.1
420031102001,42,3,110200,1,835,2018,7,94,22,23.4,31,33,13,13.8,2,2.1,2,,0,,0
420031102001,42,3,110200,1,835,2019,7,94,18,19.1,25,26.6,15,16,2,2.1,2,1,1.1,3,3.2
420031102002,42,3,110200,2,613,2016,6.6,114,17,14.9,30,26.3,8,7,5,4.4,3,,0,4,3.5
420031102002,42,3,110200,2,613,2017,6.6,114,26,22.8,43,37.7,14,12.3,1,0.9,5,1,0.9,3,2.6
420031102002,42,3,110200,2,613,2018,6.6,114,22,19.3,27,23.7,12,10.5,3,2.6,2,,0,5,4.4
420031102002,42,3,110200,2,613,2019,6.6,114,18,15.8,25,21.9,15,13.2,,0,1,1,0.9,1,0.9
420031102003,42,3,110200,3,979,2016,11.2,120,24,20,34,28.3,13,10.8,6,5,3,1,0.8,3,2.5
420031102003,42,3,110200,3,979,2017,11.2,120,32,26.7,40,33.3,16,13.3,6,5,5,3,2.5,4,3.3
420031102003,42,3,110200,3,979,2018,11.2,120,22,18.3,44,36.7,23,19.2,4,3.3,15,,0,9,7.5
420031102003,42,3,110200,3,979,2019,11.2,120,24,20,46,38.3,16,13.3,7,5.8,13,,0,6,5
420031102004,42,3,110200,4,1546,2016,17.6,215,56,26,84,39.1,49,22.8,30,14,13,2,0.9,11,5.1
420031102004,42,3,110200,4,1546,2017,17.6,215,52,24.2,77,35.8,38,17.7,20,9.3,8,3,1.4,4,1.9
420031102004,42,3,110200,4,1546,2018,17.6,215,47,21.9,66,30.7,33,15.3,20,9.3,7,,0,11,5.1
420031102004,42,3,110200,4,1546,2019,17.6,215,52,24.2,91,42.3,53,24.7,29,13.5,20,3,1.4,9,4.2
420031106001,42,3,110600,1,763,2016,9.8,94,44,46.8,75,79.8,34,36.2,31,33,6,,0,11,11.7
420031106001,42,3,110600,1,763,2017,9.8,94,49,52.1,84,89.4,38,40.4,18,19.1,4,,0,6,6.4
